component_id,node_count,edge_count,total_length_m,exit_node_count,is_single_edge
0,5,4,7574.8,1,False
1,5,4,7093.2,3,False
2,3,2,2483.1,0,False
3,3,2,67.0,0,False
4,3,2,499.3,0,False
5,2,1,7757.3,1,True
6,2,1,101.8,0,True
7,2,1,145.4,0,True
8,2,1,214.0,0,True
9,2,1,159.7,0,True
10,2,1,181.0,0,True
11,2,1,284.3,0,True
12,2,1,67.1,0,True
13,2,1,114.5,0,True
14,2,1,87.1,0,True
15,2,1,272.5,0,True
16,2,1,119.4,0,True
17,2,1,423.7,0,True
18,2,1,73.3,0,True
19,2,1,95.8,0,True
20,2,1,877.4,0,True
21,2,1,92.5,0,True
